model_name,optimal_threshold,youden_index,n_sequences,predictions_shape,predictions_avg_shape,accuracy,precision,recall,f1,confusion_matrix,roc_auc,true_negative,false_positive,false_negative,true_positive,specificity
InceptionV3,0.7796775,0.8761821249389513,850,"(8506, 2)","(850, 2)",0.9388235294117647,0.9320175438596491,0.952914798206278,0.9423503325942351,"[[373, 31], [21, 425]]",0.9857923012032145,373,31,21,425,0.9232673267326733
MobileNetV2,0.8449211,0.9148537051014518,850,"(8506, 2)","(850, 2)",0.9576470588235294,0.9575892857142857,0.9618834080717489,0.959731543624161,"[[385, 19], [17, 429]]",0.9906317986058695,385,19,17,429,0.9529702970297029
ResNetV2,0.90627897,0.9097589131110421,850,"(8506, 2)","(850, 2)",0.9541176470588235,0.9721577726218097,0.9394618834080718,0.9555302166476625,"[[392, 12], [27, 419]]",0.9864971362607112,392,12,27,419,0.9702970297029703
VGG16,0.8208877,0.8382098299516051,850,"(8506, 2)","(850, 2)",0.92,0.9126637554585153,0.9372197309417041,0.9247787610619469,"[[364, 40], [28, 418]]",0.9749034320472405,364,40,28,418,0.900990099009901
Xception,0.84872687,0.9177951427429738,850,"(8506, 2)","(850, 2)",0.9588235294117647,0.963882618510158,0.9573991031390134,0.9606299212598425,"[[388, 16], [19, 427]]",0.9921247169560006,388,16,19,427,0.9603960396039604
